scheme,workload,comp_type,hit_rate,remote_hit_rate,read_hit,read_miss,read_mshr_hit,write_hit,write_miss,write_mshr_hit,remote_read_hit,remote_read_miss,remote_write_hit,remote_write_miss
CD,im2col,L1SCache,0.995710455764075,N/A,44568.0,192.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,im2col,L1ICache,0.9938215986613463,N/A,185304.0,1152.0,11412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,im2col,L2Cache,0.5852465619425744,0.5428424947617136,16883.0,23641.0,13335.0,54314.0,26815.0,16764.0,9273.0,4200.0,15080.0,16309.0
CD,im2col,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,im2col,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,im2col,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,im2col,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,matrixmultiplication,L1SCache,0.9795918367346939,N/A,6144.0,128.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,matrixmultiplication,L1ICache,0.9995352378718736,N/A,3716303.0,1728.0,16221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD,matrixmultiplication,L2Cache,0.5486669525856354,0.3435855104764263,427302.0,280694.0,633252.0,31969.0,97102.0,10536.0,122722.0,192064.0,2149.0,46500.0
CD,matrixmultiplication,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,matrixmultiplication,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,matrixmultiplication,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
CD,matrixmultiplication,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,im2col,L1SCache,0.995710455764075,N/A,44568.0,192.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,im2col,L1ICache,0.9938215986613463,N/A,185304.0,1152.0,11412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,im2col,L2Cache,0.6312685443676279,0.6202222222222222,23103.0,23642.0,7116.0,63276.0,26813.0,11563.0,14639.0,4200.0,18853.0,16308.0
REC,im2col,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,im2col,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,im2col,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,im2col,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,matrixmultiplication,L1SCache,0.9795918367346939,N/A,6144.0,128.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,matrixmultiplication,L1ICache,0.9995352399969016,N/A,3716320.0,1728.0,16235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,matrixmultiplication,L2Cache,0.5207812439511796,0.23139225825158266,382643.0,272135.0,686478.0,7481.0,86854.0,9935.0,69560.0,192072.0,2263.0,46500.0
REC,matrixmultiplication,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,matrixmultiplication,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,matrixmultiplication,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,matrixmultiplication,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,pagerank,L1SCache,0.9988649262202043,N/A,450560.0,512.0,7680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,pagerank,L1ICache,0.9989413620166545,N/A,3140334.0,3328.0,23510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC,pagerank,L2Cache,0.7864660689668094,0.8637070025157433,4150180.0,1180814.0,13478.0,215188.0,4430.0,5164.0,3115049.0,503478.0,91224.0,2472.0
REC,pagerank,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,pagerank,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,pagerank,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
REC,pagerank,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,im2col,L1SCache,0.995710455764075,N/A,44568.0,192.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMG,im2col,L1ICache,0.9938215986613463,N/A,185304.0,1152.0,11412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMG,im2col,L2Cache,0.5857505274997742,0.5438288218154318,16882.0,23640.0,13338.0,54463.0,26816.0,16746.0,9245.0,4200.0,15205.0,16309.0
HMG,im2col,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,im2col,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,im2col,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,im2col,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,matrixmultiplication,L1SCache,0.9795918367346939,N/A,6144.0,128.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMG,matrixmultiplication,L1ICache,0.9995352414969096,N/A,3716332.0,1728.0,16258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMG,matrixmultiplication,L2Cache,0.5228002378121284,0.23539761746805504,384166.0,272123.0,684967.0,20335.0,97096.0,9966.0,71052.0,192072.0,2397.0,46500.0
HMG,matrixmultiplication,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,matrixmultiplication,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,matrixmultiplication,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,matrixmultiplication,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,pagerank,L1SCache,0.9988649262202043,N/A,450560.0,512.0,7680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMG,pagerank,L1ICache,0.9989443463051645,N/A,3149221.0,3328.0,24629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMG,pagerank,L2Cache,0.7813331694151239,0.8591622577853724,4081866.0,1194579.0,58084.0,201722.0,4242.0,12546.0,3053204.0,512014.0,84216.0,2286.0
HMG,pagerank,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,pagerank,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,pagerank,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
HMG,pagerank,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,bfs,L1SCache,0.9943502824858758,N/A,382976.0,2176.0,32640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superdirectory,bfs,L1ICache,0.9992605346776674,N/A,16172699.0,11968.0,103202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superdirectory,bfs,L2Cache,0.013718824759404898,0.0032975027040479357,6752.0,487703.0,11004.0,32.0,16.0,0.0,689.0,208241.0,0.0,16.0
superdirectory,bfs,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,bfs,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,bfs,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,bfs,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,im2col,L1SCache,0.995710455764075,N/A,44568.0,192.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superdirectory,im2col,L1ICache,0.9938137686607239,N/A,185068.0,1152.0,11432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superdirectory,im2col,L2Cache,0.5894800085595299,0.5566627371605241,17569.0,23066.0,13549.0,54054.0,26813.0,16927.0,10011.0,3633.0,15016.0,16299.0
superdirectory,im2col,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,im2col,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,im2col,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,im2col,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,matrixmultiplication,L1SCache,0.9795918367346939,N/A,6144.0,128.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superdirectory,matrixmultiplication,L1ICache,0.9995352114949083,N/A,3716092.0,1728.0,16505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superdirectory,matrixmultiplication,L2Cache,0.6102420459606588,0.5199061419106004,557569.0,272192.0,544287.0,20639.0,97106.0,10478.0,233301.0,170583.0,1786.0,46502.0
superdirectory,matrixmultiplication,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,matrixmultiplication,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,matrixmultiplication,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,matrixmultiplication,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,pagerank,L1SCache,0.9988649262202043,N/A,450560.0,512.0,7680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superdirectory,pagerank,L1ICache,0.9989443677355895,N/A,3149285.0,3328.0,24620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superdirectory,pagerank,L2Cache,0.7822443398144932,0.8603543412690158,4089250.0,1189514.0,55902.0,199651.0,4400.0,14062.0,3058744.0,507923.0,84595.0,2278.0
superdirectory,pagerank,L1VTLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,pagerank,L1STLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,pagerank,L1ITLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
superdirectory,pagerank,L2TLB,N/A,N/A,0,0,0,0,0,0,0,0,0,0
