scheme,workload,gpu_id,read_req_bytes,read_rsp_bytes,write_req_bytes,write_rsp_bytes,inv_req_bytes,inv_rsp_bytes,total_bytes,inv_ratio,incoming_trans,outgoing_trans
CD,im2col,1,0,0,0,0,0,0,0,,0.0,0.0
CD,im2col,2,127704.0,723656.0,1273152.0,67024.0,60.0,20.0,2191616.0,2.7377058754818362e-05,39565.0,15237.0
CD,im2col,3,132660.0,751740.0,1291468.0,67972.0,72.0,24.0,2243936.0,3.208647661965403e-05,39655.0,16453.0
CD,im2col,4,131364.0,744396.0,1276116.0,67176.0,96.0,32.0,2219180.0,4.325922187474653e-05,39906.0,15589.0
CD,im2col,5,100488.0,569432.0,930392.0,48992.0,84.0,28.0,1649416.0,5.09271160216707e-05,36633.0,4619.0
CD,matrixmultiplication,1,0,0,0,0,0,0,0,,0.0,0.0
CD,matrixmultiplication,2,865632.0,4905248.0,1290708.0,67932.0,628872.0,209624.0,7968016.0,0.07892454031216804,199963.0,83087.0
CD,matrixmultiplication,3,2305728.0,13065792.0,1292684.0,68036.0,1460340.0,486780.0,18679360.0,0.07817933805012592,638575.0,23121.0
CD,matrixmultiplication,4,911232.0,5163648.0,3723696.0,244428.0,470676.0,156892.0,10670572.0,0.04410972532681472,276389.0,64032.0
CD,matrixmultiplication,5,812640.0,4604960.0,1140304.0,60016.0,557400.0,185800.0,7361120.0,0.07572217271284805,175624.0,82724.0
REC,im2col,1,0,0,0,0,0,0,0,,0.0,0.0
REC,im2col,2,127704.0,723656.0,1422720.0,74880.0,12.0,4.0,2348976.0,5.1086090279338745e-06,42078.0,16648.0
REC,im2col,3,132648.0,751672.0,1444684.0,76036.0,24.0,8.0,2405072.0,9.978911234258268e-06,42784.0,17346.0
REC,im2col,4,131364.0,744396.0,1427584.0,75136.0,24.0,8.0,2378512.0,1.009034219713838e-05,43015.0,16451.0
REC,im2col,5,100476.0,569364.0,1049484.0,55236.0,12.0,4.0,1774576.0,6.762178683809541e-06,39142.0,5224.0
REC,matrixmultiplication,1,0,0,0,0,0,0,0,,0.0,0.0
REC,matrixmultiplication,2,865824.0,4906336.0,793896.0,33592.0,0,0,6599648.0,0.0,86598.0,76550.0
REC,matrixmultiplication,3,2305632.0,13065248.0,812592.0,34576.0,0,0,16218048.0,0.0,386804.0,16804.0
REC,matrixmultiplication,4,911136.0,5163104.0,2425464.0,103080.0,0,0,8602784.0,0.0,145516.0,64024.0
REC,matrixmultiplication,5,812832.0,4606048.0,818976.0,34912.0,0,0,6272768.0,0.0,76464.0,78512.0
REC,pagerank,1,0,0,0,0,0,0,0,,0.0,0.0
REC,pagerank,2,4178088.0,23675832.0,4772116.0,251164.0,193272.0,64424.0,33134896.0,0.005832883857550058,739870.0,114272.0
REC,pagerank,3,1931868.0,10947252.0,4755320.0,250280.0,64128.0,21376.0,17970224.0,0.003568569874254211,287118.0,170688.0
REC,pagerank,4,1920552.0,10883128.0,2439220.0,128380.0,77364.0,25788.0,15474432.0,0.004999472678544841,208122.0,189054.0
REC,pagerank,5,4112292.0,23302988.0,2277264.0,119856.0,88692.0,29564.0,29930656.0,0.0029632494523340884,634446.0,125646.0
HMG,im2col,1,0,0,0,0,0,0,0,,0.0,0.0
HMG,im2col,2,127704.0,723656.0,1273532.0,67060.0,108.0,36.0,2192096.0,4.926791527378363e-05,39600.0,15224.0
HMG,im2col,3,132660.0,751740.0,1297396.0,68284.0,132.0,44.0,2250256.0,5.865999246307976e-05,39758.0,16516.0
HMG,im2col,4,131376.0,744464.0,1280068.0,67396.0,144.0,48.0,2223496.0,6.476287791837718e-05,40007.0,15605.0
HMG,im2col,5,100476.0,569364.0,939132.0,49452.0,96.0,32.0,1658552.0,5.7881814980778417e-05,36804.0,4678.0
HMG,matrixmultiplication,1,0,0,0,0,0,0,0,,0.0,0.0
HMG,matrixmultiplication,2,865824.0,4906336.0,1277712.0,67248.0,0,0,7117120.0,0.0,95012.0,82916.0
HMG,matrixmultiplication,3,2305632.0,13065248.0,1293064.0,68056.0,0,0,16732000.0,0.0,395174.0,23126.0
HMG,matrixmultiplication,4,911136.0,5163104.0,3716172.0,195588.0,0,0,9986000.0,0.0,185626.0,64024.0
HMG,matrixmultiplication,5,812832.0,4606048.0,1145396.0,60284.0,0,0,6624560.0,0.0,82807.0,82807.0
HMG,pagerank,1,0,0,0,0,0,0,0,,0.0,0.0
HMG,pagerank,2,4256904.0,24122456.0,4386644.0,232412.0,16128.0,5376.0,33019920.0,0.0004884324371470313,717604.0,110390.0
HMG,pagerank,3,1997628.0,11319892.0,4378056.0,231192.0,11520.0,3840.0,17942128.0,0.0006420643080909912,274656.0,175606.0
HMG,pagerank,4,1984596.0,11246044.0,2415964.0,127156.0,6912.0,2304.0,15782976.0,0.0004379402211598117,201407.0,194089.0
HMG,pagerank,5,4103784.0,23254776.0,1993176.0,104904.0,6912.0,2304.0,29465856.0,0.0002345765892563922,616695.0,120873.0
superdirectory,bfs,1,0,0,0,0,0,0,0,,0.0,0.0
superdirectory,bfs,2,2499072.0,14467204.0,1216.0,64.0,0,0,16967556.0,0.0,420975.0,66.0
superdirectory,bfs,3,833784.0,4803928.0,0,0,0,0,5637712.0,0.0,70664.0,69464.0
superdirectory,bfs,4,833112.0,4816848.0,0,0,0,0,5649960.0,0.0,70852.0,69410.0
superdirectory,bfs,5,832176.0,4846428.0,1216.0,64.0,0,0,5679884.0,0.0,71319.0,69332.0
superdirectory,im2col,1,0,0,0,0,0,0,0,,0.0,0.0
superdirectory,im2col,2,125184.0,735692.0,1276800.0,67160.0,48.0,16.0,2204900.0,2.17696947707379e-05,39381.0,15468.0
superdirectory,im2col,3,128064.0,766904.0,1276724.0,67184.0,96.0,32.0,2239004.0,4.287620745652978e-05,39613.0,15948.0
superdirectory,im2col,4,126828.0,751740.0,1278548.0,67268.0,72.0,24.0,2224480.0,3.236711501114867e-05,40025.0,15251.0
superdirectory,im2col,5,98292.0,578816.0,927808.0,48812.0,72.0,24.0,1653824.0,4.3535466893696064e-05,36546.0,4580.0
superdirectory,matrixmultiplication,1,0,0,0,0,0,0,0,,0.0,0.0
superdirectory,matrixmultiplication,2,742992.0,5843920.0,1262892.0,66468.0,24.0,8.0,7916304.0,3.031717831957944e-06,106735.0,74359.0
superdirectory,matrixmultiplication,3,2069400.0,15279260.0,1366708.0,71932.0,0,0,18787300.0,0.0,409087.0,24024.0
superdirectory,matrixmultiplication,4,887844.0,5594972.0,3778948.0,198892.0,72.0,24.0,10460752.0,6.882870371078484e-06,193643.0,62081.0
superdirectory,matrixmultiplication,5,679500.0,5482296.0,1149348.0,60492.0,48.0,16.0,7371700.0,6.511388146560495e-06,95753.0,71748.0
superdirectory,pagerank,1,0,0,0,0,0,0,0,,0.0,0.0
superdirectory,pagerank,2,4222956.0,24322172.0,4402376.0,231704.0,38364.0,12788.0,33230360.0,0.001154486439508931,723082.0,108756.0
superdirectory,pagerank,3,1980372.0,11577272.0,4379348.0,230492.0,32112.0,10704.0,18210300.0,0.0017633976376006985,280689.0,175194.0
superdirectory,pagerank,4,1962732.0,11425700.0,2415736.0,127144.0,19392.0,6464.0,15957168.0,0.0012152532329044853,206123.0,192267.0
superdirectory,pagerank,5,4078548.0,23348208.0,2032772.0,106988.0,24108.0,8036.0,29598660.0,0.00081449633192854,619731.0,121016.0
